Quantify Compound Summary Report 

Printed Mon Nov 30 16:28:57 2020

Compound 1:  tryptophan

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
16	16	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_16	CABIN_TRYPTOPHAN_P3_151020_16_1CAB0.60	Analyte		3.75	559633.313	76806.242	72.863	MM	11491.5	
17	17	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_17	CABIN_TRYPTOPHAN_P3_151020_16_5CAB0.79	Analyte		3.75	473238.875	89357.773	52.960	MM	8362.6	
18	18	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_18	CABIN_TRYPTOPHAN_P3_151020_16_3CAB0.61	Analyte		3.74	703238.625	87995.938	79.917	MM	12600.5	
19	19	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_19	CABIN_TRYPTOPHAN_P3_151020_16_4CAB0.65	Analyte		3.75	587782.938	91335.016	64.355	MM	10153.9	
20	20	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_20	CABIN_TRYPTOPHAN_P3_151020_52_4CAB2.35	Analyte		3.75	705879.250	97973.977	72.048	MM	11363.3	
21	21	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_21	CABIN_TRYPTOPHAN_P3_151020_52_1CAB2.26	Analyte		3.74	696319.938	85988.820	80.978	MM	12767.2	
22	22	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_22	CABIN_TRYPTOPHAN_P3_151020_PlasmaLTR_1	Analyte		3.73	491712.625	71124.539	69.134	MM	10905.3	
23	23	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_23	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_4	Blank		3.72	5.696			bb		
24	24	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_24	CABIN_TRYPTOPHAN_P3_151020_52_5CAB2.47	Analyte		3.74	563475.250	81445.109	69.185	MM	10913.2	
25	25	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_25	CABIN_TRYPTOPHAN_P3_151020_52_3CAB2.33	Analyte		3.74	436549.813	71912.273	60.706	MM	9580.3	
26	26	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_26	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.52	Analyte		3.75	603823.563	88747.094	68.039	MM	10733.1	
27	27	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_27	CABIN_TRYPTOPHAN_P3_151020_14_5CAB0.67	Analyte		3.73	744956.500	99272.164	75.042	MM	11834.0	
28	28	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_28	CABIN_TRYPTOPHAN_P3_151020_14_1CAB0.49	Analyte		3.74	540378.375	90706.375	59.574	MM	9402.4	
29	29	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_29	CABIN_TRYPTOPHAN_P3_151020_QC_5	QC	800.000	3.76	40655.719	80563.258	5.046	MM	830.2	3.8
30	30	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_30	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_5	Blank		3.73	4.564			bb		
31	31	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_31	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.57	Analyte		3.75	758791.188	101837.188	74.510	MM	11750.4	
32	32	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_32	CABIN_TRYPTOPHAN_P3_151020_3_1CAB0.07	Analyte		3.75	347939.531	99968.531	34.805	MM	5508.4	
33	33	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_33	CABIN_TRYPTOPHAN_P3_151020_3_2CAB0.08	Analyte		3.75	566145.438	100228.797	56.485	MM	8916.8	
34	34	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_34	CABIN_TRYPTOPHAN_P3_151020_3_5CAB0.34	Analyte		3.74	539704.875	91126.070	59.226	MM	9347.7	
35	35	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_35	CABIN_TRYPTOPHAN_P3_151020_3_4CAB0.19	Analyte		3.75	616710.188	93175.820	66.188	MM	10442.1	
36	36	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_36	CABIN_TRYPTOPHAN_P3_151020_36_1CAB1.33	Analyte		3.74	628237.875	91028.164	69.016	MM	10886.7	
37	37	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_37	CABIN_TRYPTOPHAN_P3_151020_36_3CAB1.35	Analyte		3.74	702196.375	86291.664	81.375	MM	12829.6	
38	38	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_38	CABIN_TRYPTOPHAN_P3_151020_18_3CAB0.68	Analyte		3.73	444240.125	77993.133	56.959	MM	8991.2	
39	39	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_39	CABIN_TRYPTOPHAN_P3_151020_18_1CAB0.64	Analyte		3.74	651294.125	99011.977	65.779	MM	10377.9	
40	40	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_40	CABIN_TRYPTOPHAN_P3_151020_QC_2	QC	16000.000	3.74	1014705.438	95170.523	106.620	MM	16798.3	5.0
41	41	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_41	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_6	Blank		3.78	7.279			bb		
42	42	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_42	CABIN_TRYPTOPHAN_P3_151020_18_4CAB0.71	Analyte		3.74	605733.813	111044.250	54.549	MM	8612.4	
43	43	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_43	CABIN_TRYPTOPHAN_P3_151020_25_3CAB0.95	Analyte		3.74	259947.500	104524.859	24.869	MM	3946.5	
44	44	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_44	CABIN_TRYPTOPHAN_P3_151020_25_1CAB0.93	Analyte		3.75	535942.625	87516.336	61.239	MM	9664.1	
45	45	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_45	CABIN_TRYPTOPHAN_P3_151020_25_4CAB0.97	Analyte		3.74	848286.875	110951.203	76.456	MM	12056.3	
46	46	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_46	CABIN_TRYPTOPHAN_P3_151020_25_5CAB1.03	Analyte		3.74	801486.750	104032.266	77.042	MM	12148.5	
47	47	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_47	CABIN_TRYPTOPHAN_P3_151020_5_2CAB0.11	Analyte		3.74	750103.563	103897.969	72.196	MM	11386.7	
48	48	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_48	CABIN_TRYPTOPHAN_P3_151020_5_1CAB0.10	Analyte		3.74	774712.813	100221.766	77.300	MM	12189.0	
49	49	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_49	CABIN_TRYPTOPHAN_P3_151020_QC_6	QC	400.000	3.75	23871.637	97100.539	2.458	MM	423.3	5.8
50	50	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_50	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_7	Blank		3.75	18.707			bb		
51	51	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_51	CABIN_TRYPTOPHAN_P3_151020_5_5CAB0.29	Analyte		3.74	723485.063	116845.047	61.918	MM	9770.9	
52	52	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_52	CABIN_TRYPTOPHAN_P3_151020_5_3CAB0.15	Analyte		3.74	756588.688	112298.789	67.373	MM	10628.4	
53	53	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_53	CABIN_TRYPTOPHAN_P3_151020_5_4CAB0.21	Analyte		3.74	768708.813	112385.617	68.399	MM	10789.7	
54	54	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_54	CABIN_TRYPTOPHAN_P3_151020_11_3CAB0.50	Analyte		3.74	671645.375	99389.500	67.577	MM	10660.5	
55	55	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_55	CABIN_TRYPTOPHAN_P3_151020_11_5CAB0.70	Analyte		3.73	664232.188	94372.977	70.384	MM	11101.7	
56	56	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_56	CABIN_TRYPTOPHAN_P3_151020_11_1CAB0.43	Analyte		3.74	547740.563	96716.477	56.634	MM	8940.1	
57	57	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_57	CABIN_TRYPTOPHAN_P3_151020_QC_4	QC	2000.000	3.74	124633.414	100464.836	12.406	MM	1987.1	-0.6
58	58	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_58	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_8	Blank		3.72	4.391			bb		
59	59	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_59	CABIN_TRYPTOPHAN_P3_151020_11_4CAB0.53	Analyte		3.75	1296850.375	40149.277	323.007	MM	50816.2	
60	60	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_60	CABIN_TRYPTOPHAN_P3_151020_44_2CAB1.80	Analyte		3.74	700116.875	91068.711	76.878	MM	12122.7	
61	61	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_61	CABIN_TRYPTOPHAN_P3_151020_44_5CAB2.10	Analyte		3.74	789898.375	130945.453	60.323	MM	9520.1	
62	62	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_62	CABIN_TRYPTOPHAN_P3_151020_44_1CAB1.75	Analyte		3.74	763437.375	113612.813	67.196	MM	10600.7	
63	63	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_63	CABIN_TRYPTOPHAN_P3_151020_39_5CAB1.81	Analyte		3.74	999554.000	118457.203	84.381	MM	13302.2	
64	64	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_64	CABIN_TRYPTOPHAN_P3_151020_QC_1	QC	20000.000	3.73	1350242.500	97678.742	138.233	MM	21768.2	8.8
65	65	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_65	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_9	Blank								
66	66	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_66	CABIN_TRYPTOPHAN_P3_151020_39_3CAB1.51	Analyte		3.74	541402.313	103023.930	52.551	MM	8298.3	
67	67	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_67	CABIN_TRYPTOPHAN_P3_151020_39_1CAB1.43	Analyte		3.74	705756.000	99242.813	71.114	MM	11216.5	
68	68	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_68	CABIN_TRYPTOPHAN_P3_151020_56_1CAB2.45	Analyte		3.74	619574.688	105479.766	58.739	MM	9271.0	
69	69	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_69	CABIN_TRYPTOPHAN_P3_151020_4_1CAB0.09	Analyte		3.74	394842.094	99561.930	39.658	MM	6271.4	
70	70	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_70	CABIN_TRYPTOPHAN_P3_151020_4_2CAB0.13	Analyte		3.74	329535.781	107814.938	30.565	MM	4841.9	
71	71	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_71	CABIN_TRYPTOPHAN_P3_151020_4_3CAB0.14	Analyte		3.74	487372.500	90020.336	54.140	MM	8548.1	
72	72	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_72	CABIN_TRYPTOPHAN_P3_151020_19_1CAB0.69	Analyte		3.74	816920.000	111215.961	73.453	MM	11584.3	
73	73	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_73	CABIN_TRYPTOPHAN_P3_151020_QC_3	QC	8000.000	3.74	515889.344	97445.555	52.941	MM	8359.6	4.5
74	74	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_74	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_10	Blank		3.80	7.287			bb		
75	75	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_75	CABIN_TRYPTOPHAN_P3_151020_PlasmaLTR_2	Analyte		3.74	562974.750	83886.836	67.111	MM	10587.3	
76	76	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_76	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_12	Blank		3.74	12.037			bb		
77	77	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_77	CABIN_TRYPTOPHAN_P3_151020_Cal8_2	Standard	200.000	3.74	12050.179	109691.016	1.099	MM	209.5	4.8
78	78	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_78	CABIN_TRYPTOPHAN_P3_151020_Cal7_2	Standard	400.000	3.74	25242.623	115594.586	2.184	MM	380.1	-5.0
79	79	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_79	CABIN_TRYPTOPHAN_P3_151020_Cal6_2	Standard	800.000	3.74	47148.352	103695.680	4.547	MM	751.6	-6.0
80	80	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_80	CABIN_TRYPTOPHAN_P3_151020_Cal5_2	Standard	2000.000	3.74	112255.563	95241.820	11.786	MM	1889.7	-5.5
81	81	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_81	CABIN_TRYPTOPHAN_P3_151020_Cal4_2	Standard	3000.000	3.74	177314.766	93149.805	19.035	MM	3029.4	1.0
82	82	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_82	CABIN_TRYPTOPHAN_P3_151020_Cal3_2	Standard	5000.000	3.74	277572.688	84293.055	32.929	MM	5213.6	4.3
83	83	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_83	CABIN_TRYPTOPHAN_P3_151020_Cal2_2	Standard	10000.000	3.74	693428.938	103678.398	66.883	MM	10551.3	5.5
84	84	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_84	CABIN_TRYPTOPHAN_P3_151020_Cal1_2	Standard	20000.000	3.73	1519686.875	111857.563	135.859	MM	21395.0	7.0
85	85	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_85		Blank								

Compound 2:  3-hydroxykynurenine

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
1	1	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_1	CABIN_TRYPTOPHAN_P3_151020_SingleBlank_1	Blank				469247.125				
2	2	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_2	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_2	Blank								
3	3	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_3	CABIN_TRYPTOPHAN_P3_151020_Cal8_1	Standard	2.000	1.11	398.556	416574.594	0.010	db	1.9	-3.8
4	4	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_4	CABIN_TRYPTOPHAN_P3_151020_Cal7_1	Standard	4.000	1.10	932.185	433189.469	0.022	MM	4.6	14.3
5	5	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_5	CABIN_TRYPTOPHAN_P3_151020_Cal6_1	Standard	8.000	1.10	1887.741	474780.844	0.040	db	8.6	7.6
6	6	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_6	CABIN_TRYPTOPHAN_P3_151020_Cal5_1	Standard	20.000	1.12	3401.538	445938.313	0.076	dbX	16.7	-16.5
7	7	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_7	CABIN_TRYPTOPHAN_P3_151020_Cal4_1	Standard	30.000	1.11	5082.730	379610.000	0.134	db	29.5	-1.8
8	8	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_8	CABIN_TRYPTOPHAN_P3_151020_Cal3_1	Standard	50.000	1.11	4143.610	182683.094	0.227	db	50.0	0.1
9	9	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_9	CABIN_TRYPTOPHAN_P3_151020_Cal2_1	Standard	100.000	1.10	21127.986	445191.250	0.475	bb	104.9	4.9
10	10	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_10	CABIN_TRYPTOPHAN_P3_151020_Cal1_1	Standard	200.000	1.10	31452.254	350091.656	0.898	bb	198.8	-0.6
11	11	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_11	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_3	Blank				34.557				
12	12	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_12	CABIN_TRYPTOPHAN_P3_151020_8_4CAB0.33	Analyte		1.12	4719.411	839145.875	0.056	bd	12.3	
13	13	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_13	CABIN_TRYPTOPHAN_P3_151020_8_5CAB0.37	Analyte		1.10	4609.733	813361.875	0.057	bb	12.4	
14	14	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_14	CABIN_TRYPTOPHAN_P3_151020_8_3CAB0.28	Analyte		1.12	4201.218	857569.875	0.049	bb	10.7	
15	15	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_15	CABIN_TRYPTOPHAN_P3_151020_31_2CAB1.12	Analyte		1.12	2102.819	822943.125	0.026	bb	5.5	
16	16	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_16	CABIN_TRYPTOPHAN_P3_151020_16_1CAB0.60	Analyte		1.10	2590.952	688446.375	0.038	bb	8.1	
17	17	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_17	CABIN_TRYPTOPHAN_P3_151020_16_5CAB0.79	Analyte		1.12	3568.654	824535.375	0.043	bb	9.4	
18	18	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_18	CABIN_TRYPTOPHAN_P3_151020_16_3CAB0.61	Analyte		1.11	4510.590	825685.688	0.055	bb	11.9	
19	19	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_19	CABIN_TRYPTOPHAN_P3_151020_16_4CAB0.65	Analyte		1.11	3171.652	827243.688	0.038	bb	8.3	
20	20	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_20	CABIN_TRYPTOPHAN_P3_151020_52_4CAB2.35	Analyte		1.11	3728.251	877976.813	0.042	bb	9.2	
21	21	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_21	CABIN_TRYPTOPHAN_P3_151020_52_1CAB2.26	Analyte		1.10	2185.217	778023.063	0.028	bb	6.0	
22	22	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_22	CABIN_TRYPTOPHAN_P3_151020_PlasmaLTR_1	Analyte		1.10	1371.871	651074.188	0.021	bb	4.5	
23	23	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_23	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_4	Blank				14.352				
24	24	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_24	CABIN_TRYPTOPHAN_P3_151020_52_5CAB2.47	Analyte		1.10	2181.970	763542.750	0.029	bb	6.1	
25	25	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_25	CABIN_TRYPTOPHAN_P3_151020_52_3CAB2.33	Analyte		1.11	2461.643	671304.875	0.037	bb	7.9	
26	26	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_26	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.52	Analyte		1.11	3756.848	812944.438	0.046	bb	10.0	
27	27	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_27	CABIN_TRYPTOPHAN_P3_151020_14_5CAB0.67	Analyte		1.09	4172.446	908116.813	0.046	bb	10.0	
28	28	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_28	CABIN_TRYPTOPHAN_P3_151020_14_1CAB0.49	Analyte		1.10	2683.428	818545.063	0.033	bb	7.1	
29	29	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_29	CABIN_TRYPTOPHAN_P3_151020_QC_5	QC	8.000	1.12	1357.085	323686.063	0.042	MM	9.1	13.6
30	30	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_30	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_5	Blank				0.963				
31	31	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_31	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.57	Analyte		1.12	3686.240	924221.063	0.040	bb	8.6	
32	32	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_32	CABIN_TRYPTOPHAN_P3_151020_3_1CAB0.07	Analyte		1.11	1372.049	910020.688	0.015	bb	3.1	
33	33	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_33	CABIN_TRYPTOPHAN_P3_151020_3_2CAB0.08	Analyte		1.11	3781.952	921263.625	0.041	bb	8.9	
34	34	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_34	CABIN_TRYPTOPHAN_P3_151020_3_5CAB0.34	Analyte		1.10	2876.147	828869.625	0.035	bb	7.5	
35	35	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_35	CABIN_TRYPTOPHAN_P3_151020_3_4CAB0.19	Analyte		1.10	5258.385	858137.313	0.061	bb	13.4	
36	36	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_36	CABIN_TRYPTOPHAN_P3_151020_36_1CAB1.33	Analyte		1.10	3062.775	881636.125	0.035	bb	7.5	
37	37	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_37	CABIN_TRYPTOPHAN_P3_151020_36_3CAB1.35	Analyte		1.10	4066.623	794389.938	0.051	bb	11.1	
38	38	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_38	CABIN_TRYPTOPHAN_P3_151020_18_3CAB0.68	Analyte		1.10	4160.749	720820.500	0.058	bb	12.6	
39	39	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_39	CABIN_TRYPTOPHAN_P3_151020_18_1CAB0.64	Analyte		1.11	3391.929	879745.188	0.039	bb	8.3	
40	40	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_40	CABIN_TRYPTOPHAN_P3_151020_QC_2	QC	160.000	1.13	24142.215	316146.063	0.764	bb	168.9	5.6
41	41	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_41	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_6	Blank				22.775				
42	42	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_42	CABIN_TRYPTOPHAN_P3_151020_18_4CAB0.71	Analyte		1.14	5388.354	917714.500	0.059	bb	12.8	
43	43	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_43	CABIN_TRYPTOPHAN_P3_151020_25_3CAB0.95	Analyte		1.15	1690.240	948027.375	0.018	bb	3.8	
44	44	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_44	CABIN_TRYPTOPHAN_P3_151020_25_1CAB0.93	Analyte		1.15	2691.172	831223.625	0.032	db	7.0	
45	45	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_45	CABIN_TRYPTOPHAN_P3_151020_25_4CAB0.97	Analyte		1.15	3730.560	1064069.750	0.035	bb	7.6	
46	46	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_46	CABIN_TRYPTOPHAN_P3_151020_25_5CAB1.03	Analyte		1.14	3492.796	1036193.875	0.034	bb	7.3	
47	47	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_47	CABIN_TRYPTOPHAN_P3_151020_5_2CAB0.11	Analyte		1.14	3772.810	1042612.625	0.036	bb	7.8	
48	48	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_48	CABIN_TRYPTOPHAN_P3_151020_5_1CAB0.10	Analyte		1.14	2429.248	979441.563	0.025	bb	5.3	
49	49	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_49	CABIN_TRYPTOPHAN_P3_151020_QC_6	QC	4.000	1.14	891.427	524185.375	0.017	db	3.6	-10.7
50	50	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_50	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_7	Blank				14.177				
